max_strategy, risky_strategy, uniform_strategy, safe_strategy, min_strategy
17, 403, 854, 1064, 1000
1080, 993, 1201, 770, 1000
60, 1279, 509, 1005, 1000
426, 841, 344, 1034, 1000
2, 1272, 424, 1457, 1000
2764, 1113, 1522, 2411, 1000
3184, 1756, 1263, 1031, 1000
1140, 1264, 1282, 498, 1000
1954, 2067, 1402, 448, 1000
1256, 850, 3188, 809, 1000
2597, 615, 313, 1451, 1000
492, 1223, 868, 658, 1000
21, 242, 392, 1493, 1000
211, 2016, 1039, 917, 1000
207, 1071, 528, 546, 1000
690, 914, 1526, 209, 1000
65, 996, 682, 351, 1000
481, 2251, 602, 1510, 1000
2617, 254, 1166, 1248, 1000
1240, 1397, 1131, 1636, 1000
91, 1815, 2759, 1603, 1000
400, 1501, 970, 480, 1000
231, 789, 628, 1348, 1000
808, 1169, 2089, 1694, 1000
212, 157, 1031, 566, 1000
64, 250, 581, 735, 1000
3043, 1962, 464, 1182, 1000
971, 479, 1047, 2770, 1000
283, 754, 418, 1426, 1000
408, 855, 816, 562, 1000
102, 1202, 818, 1624, 1000
1774, 705, 1859, 962, 1000
307, 1430, 1351, 615, 1000
1846, 1257, 48, 679, 1000
211, 690, 369, 2009, 1000
584, 201, 899, 1041, 1000
165, 1400, 277, 353, 1000
1627, 989, 1061, 745, 1000
426, 284, 1161, 1056, 1000
2328, 512, 890, 742, 1000
824, 2264, 715, 781, 1000
696, 558, 547, 837, 1000
567, 775, 1192, 788, 1000
49, 1514, 1677, 1415, 1000
648, 182, 922, 1308, 1000
854, 350, 431, 946, 1000
304, 2100, 1353, 1482, 1000
5057, 378, 2204, 980, 1000
2346, 321, 274, 839, 1000
506, 468, 204, 640, 1000
67, 336, 438, 1169, 1000
515, 620, 137, 690, 1000
4, 2548, 441, 792, 1000
1659, 293, 870, 643, 1000
118, 2048, 520, 574, 1000
304, 1743, 412, 1137, 1000
1309, 1328, 704, 1302, 1000
463, 858, 2538, 602, 1000
6, 782, 842, 1007, 1000
254, 743, 2620, 1241, 1000
286, 1533, 619, 1090, 1000
37, 493, 1103, 688, 1000
152, 1172, 1374, 735, 1000
171, 1101, 607, 1044, 1000
379, 257, 1518, 514, 1000
1859, 303, 894, 616, 1000
109, 127, 764, 374, 1000
4752, 1878, 2427, 427, 1000
1331, 2175, 951, 629, 1000
2082, 365, 1310, 1528, 1000
549, 923, 2741, 1489, 1000
421, 1747, 1399, 886, 1000
718, 530, 309, 1759, 1000
2090, 523, 477, 1113, 1000
2321, 939, 463, 998, 1000
3101, 160, 2977, 752, 1000
1246, 2959, 756, 446, 1000
902, 780, 643, 1210, 1000
599, 998, 171, 746, 1000
246, 183, 1279, 2043, 1000
2275, 1914, 1132, 1537, 1000
448, 753, 1573, 893, 1000
826, 401, 133, 912, 1000
1496, 1061, 312, 996, 1000
